event_id,event_time,ccy_couple,rate
288230383844091030,2024-02-20 21:59:36.531,EURUSD,1.0808
288230383844091038,2024-02-20 21:59:36.678,EURUSD,1.0808
288230383844091046,2024-02-20 21:59:36.789,EURGBP,0.85619
288230383844091052,2024-02-20 21:59:36.791,EURUSD,1.08079
288230383844091066,2024-02-20 21:59:36.796,GBPUSD,1.2623
288230383844091114,2024-02-20 21:59:36.889,EURGBP,0.85615
288230383844091120,2024-02-20 21:59:36.891,EURUSD,1.08075
288230383844091134,2024-02-20 21:59:36.896,GBPUSD,1.26229
288230383844091178,2024-02-20 21:59:36.989,EURGBP,0.85615
288230383844091184,2024-02-20 21:59:36.991,EURUSD,1.08074
288230383844091196,2024-02-20 21:59:36.996,GBPUSD,1.26229
288230383844091236,2024-02-20 21:59:37.089,EURGBP,0.85615
288230383844091242,2024-02-20 21:59:37.091,EURUSD,1.08074
288230383844091252,2024-02-20 21:59:37.096,GBPUSD,1.26229
288230383844091286,2024-02-20 21:59:37.194,EURGBP,0.85615
288230383844091292,2024-02-20 21:59:37.196,GBPUSD,1.26229
288230383844091326,2024-02-20 21:59:37.294,EURGBP,0.85615
288230383844091330,2024-02-20 21:59:37.296,GBPUSD,1.26229
288230383844091350,2024-02-20 21:59:37.394,EURGBP,0.85614
288230383844091360,2024-02-20 21:59:37.411,GBPUSD,1.26229
288230383844091370,2024-02-20 21:59:37.494,EURGBP,0.85614
288230383844091376,2024-02-20 21:59:37.511,GBPUSD,1.2623
288230383844091398,2024-02-20 21:59:37.594,EURGBP,0.85614
288230383844091404,2024-02-20 21:59:37.611,GBPUSD,1.2623
288230383844091426,2024-02-20 21:59:37.694,EURGBP,0.85614
288230383844091434,2024-02-20 21:59:37.744,EURUSD,1.08075
288230383844091474,2024-02-20 21:59:37.794,EURGBP,0.85614
288230383844091482,2024-02-20 21:59:37.844,EURUSD,1.08074
288230383844091508,2024-02-20 21:59:37.894,EURGBP,0.85615
288230383844091524,2024-02-20 21:59:37.994,EURGBP,0.85614
288230383844091546,2024-02-20 21:59:38.094,EURGBP,0.85615
288230383844091570,2024-02-20 21:59:38.191,EURUSD,1.08074
288230383844091588,2024-02-20 21:59:38.298,EURGBP,0.85615
288230383844091594,2024-02-20 21:59:38.350,EURUSD,1.08074
288230383844091624,2024-02-20 21:59:38.398,EURGBP,0.85614
288230383844091626,2024-02-20 21:59:38.450,EURUSD,1.08073
288230383844091648,2024-02-20 21:59:38.498,EURGBP,0.85614
288230383844091650,2024-02-20 21:59:38.550,EURUSD,1.08073
288230383844091656,2024-02-20 21:59:38.562,GBPUSD,1.26229
288230383844091672,2024-02-20 21:59:38.651,EURGBP,0.85614
288230383844091678,2024-02-20 21:59:38.662,GBPUSD,1.2623
288230383844091706,2024-02-20 21:59:38.885,EURGBP,0.85614
288230383844091722,2024-02-20 21:59:38.963,EURUSD,1.08074
288230383844091724,2024-02-20 21:59:38.966,GBPUSD,1.2623
288230383844091740,2024-02-20 21:59:38.985,EURGBP,0.85614
288230383844091766,2024-02-20 21:59:39.063,EURUSD,1.08074
288230383844091768,2024-02-20 21:59:39.066,GBPUSD,1.2623
288230383844091782,2024-02-20 21:59:39.085,EURGBP,0.85614
288230383844091796,2024-02-20 21:59:39.163,EURUSD,1.08074
288230383844091798,2024-02-20 21:59:39.166,GBPUSD,1.2623
288230383844091812,2024-02-20 21:59:39.185,EURGBP,0.85615
288230383844091826,2024-02-20 21:59:39.263,EURUSD,1.08074
288230383844091832,2024-02-20 21:59:39.319,AUDUSD,0.6549
288230383844091852,2024-02-20 21:59:39.385,EURGBP,0.85615
288230383844091854,2024-02-20 21:59:39.412,EURUSD,1.08074
288230383844091884,2024-02-20 21:59:39.484,NZDUSD,0.61642
288230383844091886,2024-02-20 21:59:39.485,EURGBP,0.85613
288230383844091892,2024-02-20 21:59:39.512,EURUSD,1.08073
288230383844091922,2024-02-20 21:59:39.584,NZDUSD,0.61642
288230383844091924,2024-02-20 21:59:39.585,EURGBP,0.85614
288230383844091930,2024-02-20 21:59:39.612,EURUSD,1.08074
288230383844091966,2024-02-20 21:59:39.845,EURUSD,1.08074
288230383844091970,2024-02-20 21:59:39.847,EURGBP,0.85614
288230383844091978,2024-02-20 21:59:39.947,EURGBP,0.85614
288230383844091992,2024-02-20 21:59:40.028,GBPUSD,1.2623
288230383844091998,2024-02-20 21:59:40.047,EURGBP,0.85615
288230383844092008,2024-02-20 21:59:40.095,EURUSD,1.08074
288230383844092034,2024-02-20 21:59:40.147,EURGBP,0.85615
288230383844092040,2024-02-20 21:59:40.195,EURUSD,1.08074
288230383844092048,2024-02-20 21:59:40.202,GBPUSD,1.2623
288230383844092068,2024-02-20 21:59:40.247,EURGBP,0.85614
288230383844092070,2024-02-20 21:59:40.295,EURUSD,1.08074
288230383844092076,2024-02-20 21:59:40.302,GBPUSD,1.2623
288230383844092090,2024-02-20 21:59:40.347,EURGBP,0.85614
288230383844092094,2024-02-20 21:59:40.402,GBPUSD,1.2623
288230383844092106,2024-02-20 21:59:40.447,EURGBP,0.85614
288230383844092126,2024-02-20 21:59:40.547,EURUSD,1.08074
288230383844092130,2024-02-20 21:59:40.550,EURGBP,0.85614
288230383844092142,2024-02-20 21:59:40.650,EURGBP,0.85615
288230383844092182,2024-02-20 21:59:40.873,GBPUSD,1.2623
288230383844092194,2024-02-20 21:59:41.029,GBPUSD,1.2623
288230383844092198,2024-02-20 21:59:41.034,EURUSD,1.08074
288230383844092200,2024-02-20 21:59:41.035,EURGBP,0.85614
288230383844092234,2024-02-20 21:59:41.134,EURUSD,1.08074
288230383844092236,2024-02-20 21:59:41.135,EURGBP,0.85614
288230383844092270,2024-02-20 21:59:41.234,EURUSD,1.08074
288230383844092272,2024-02-20 21:59:41.235,EURGBP,0.85614
288230383844092292,2024-02-20 21:59:41.267,GBPUSD,1.2623
288230383844092308,2024-02-20 21:59:41.334,EURUSD,1.08073
288230383844092310,2024-02-20 21:59:41.335,EURGBP,0.85614
288230383844092330,2024-02-20 21:59:41.367,GBPUSD,1.2623
288230383844092354,2024-02-20 21:59:41.454,EURGBP,0.85613
288230383844092364,2024-02-20 21:59:41.467,GBPUSD,1.2623
288230383844092368,2024-02-20 21:59:41.515,EURUSD,1.08074
288230383844092386,2024-02-20 21:59:41.554,EURGBP,0.85614
288230383844092394,2024-02-20 21:59:41.567,GBPUSD,1.2623
288230383844092400,2024-02-20 21:59:41.615,EURUSD,1.08074
288230383844092408,2024-02-20 21:59:41.654,EURGBP,0.85614
288230383844092418,2024-02-20 21:59:41.676,GBPUSD,1.2623
288230383844092436,2024-02-20 21:59:41.715,EURUSD,1.08074
288230383844092454,2024-02-20 21:59:41.754,EURGBP,0.85615
288230383844092474,2024-02-20 21:59:41.815,EURUSD,1.08074
288230383844092494,2024-02-20 21:59:41.854,EURGBP,0.85615
288230383844092506,2024-02-20 21:59:41.954,EURGBP,0.85615
288230383844092512,2024-02-20 21:59:41.983,GBPUSD,1.2623
288230383844092524,2024-02-20 21:59:42.043,EURUSD,1.08074
288230383844092528,2024-02-20 21:59:42.054,EURGBP,0.85615
288230383844092534,2024-02-20 21:59:42.083,GBPUSD,1.26229
288230383844092546,2024-02-20 21:59:42.143,EURUSD,1.08074
288230383844092548,2024-02-20 21:59:42.154,EURGBP,0.85614
288230383844092556,2024-02-20 21:59:42.188,GBPUSD,1.26229
288230383844092564,2024-02-20 21:59:42.254,EURGBP,0.85614
288230383844092572,2024-02-20 21:59:42.288,GBPUSD,1.26229
288230383844092578,2024-02-20 21:59:42.341,EURUSD,1.08074
288230383844092596,2024-02-20 21:59:42.354,EURGBP,0.85614
288230383844092600,2024-02-20 21:59:42.388,GBPUSD,1.26229
288230383844092616,2024-02-20 21:59:42.441,EURUSD,1.08073
288230383844092628,2024-02-20 21:59:42.454,EURGBP,0.85614
288230383844092640,2024-02-20 21:59:42.541,EURUSD,1.08074
288230383844092660,2024-02-20 21:59:42.552,AUDUSD,0.6549
288230383844092664,2024-02-20 21:59:42.554,EURGBP,0.85614
288230383844092680,2024-02-20 21:59:42.641,EURUSD,1.08074
288230383844092696,2024-02-20 21:59:42.654,EURGBP,0.85614
288230383844092720,2024-02-20 21:59:42.741,EURUSD,1.08074
288230383844092738,2024-02-20 21:59:42.754,EURGBP,0.85614
288230383844092754,2024-02-20 21:59:42.841,EURUSD,1.08074
288230383844092768,2024-02-20 21:59:42.854,EURGBP,0.85614
288230383844092786,2024-02-20 21:59:42.941,EURUSD,1.08074
288230383844092802,2024-02-20 21:59:42.954,EURGBP,0.85614
288230383844092830,2024-02-20 21:59:43.041,EURUSD,1.08074
288230383844092846,2024-02-20 21:59:43.054,EURGBP,0.85614
288230383844092866,2024-02-20 21:59:43.141,EURUSD,1.08074
288230383844092876,2024-02-20 21:59:43.154,EURGBP,0.85614
288230383844092894,2024-02-20 21:59:43.316,EURUSD,1.08074
288230383844092902,2024-02-20 21:59:43.327,EURGBP,0.85614
288230383844092908,2024-02-20 21:59:43.366,AUDUSD,0.65491
288230383844092924,2024-02-20 21:59:43.461,EURUSD,1.08074
288230383844092928,2024-02-20 21:59:43.463,EURGBP,0.85614
288230383844092936,2024-02-20 21:59:43.466,AUDUSD,0.65492
288230383844092938,2024-02-20 21:59:43.467,GBPUSD,1.26229
288230383844092956,2024-02-20 21:59:43.561,EURUSD,1.08074
288230383844092958,2024-02-20 21:59:43.563,EURGBP,0.85613
288230383844092966,2024-02-20 21:59:43.567,GBPUSD,1.26229
288230383844092986,2024-02-20 21:59:43.663,EURGBP,0.85613
288230383844093000,2024-02-20 21:59:43.727,NZDUSD,0.61641
288230383844093022,2024-02-20 21:59:43.832,EURUSD,1.08074
288230383844093028,2024-02-20 21:59:43.833,EURGBP,0.85614
288230383844093030,2024-02-20 21:59:43.835,GBPUSD,1.26229
288230383844093058,2024-02-20 21:59:43.932,EURUSD,1.08074
288230383844093064,2024-02-20 21:59:43.933,EURGBP,0.85614
288230383844093066,2024-02-20 21:59:43.935,GBPUSD,1.26229
288230383844093094,2024-02-20 21:59:44.032,EURUSD,1.08074
288230383844093098,2024-02-20 21:59:44.033,EURGBP,0.85614
288230383844093118,2024-02-20 21:59:44.133,EURGBP,0.85614
288230383844093146,2024-02-20 21:59:44.233,EURUSD,1.08074
288230383844093148,2024-02-20 21:59:44.233,EURGBP,0.85614
288230383844093170,2024-02-20 21:59:44.256,GBPUSD,1.26229
288230383844093200,2024-02-20 21:59:44.333,EURUSD,1.08074
288230383844093202,2024-02-20 21:59:44.333,EURGBP,0.85614
288230383844093220,2024-02-20 21:59:44.356,GBPUSD,1.26229
288230383844093240,2024-02-20 21:59:44.433,EURUSD,1.08074
288230383844093242,2024-02-20 21:59:44.433,EURGBP,0.85614
288230383844093264,2024-02-20 21:59:44.456,GBPUSD,1.26229
288230383844093286,2024-02-20 21:59:44.533,EURUSD,1.08074
288230383844093288,2024-02-20 21:59:44.533,EURGBP,0.85614
288230383844093308,2024-02-20 21:59:44.562,GBPUSD,1.26229
288230383844093328,2024-02-20 21:59:44.633,EURUSD,1.08074
288230383844093330,2024-02-20 21:59:44.633,EURGBP,0.85614
288230383844093352,2024-02-20 21:59:44.662,GBPUSD,1.26229
288230383844093370,2024-02-20 21:59:44.733,EURUSD,1.08074
288230383844093372,2024-02-20 21:59:44.733,EURGBP,0.85614
288230383844093392,2024-02-20 21:59:44.762,GBPUSD,1.26229
288230383844093406,2024-02-20 21:59:44.833,EURGBP,0.85614
288230383844093424,2024-02-20 21:59:44.942,GBPUSD,1.26229
288230383844093434,2024-02-20 21:59:45.000,EURUSD,1.08074
288230383844093442,2024-02-20 21:59:45.001,AUDUSD,0.65491
288230383844093458,2024-02-20 21:59:45.010,EURGBP,0.85614
288230383844093482,2024-02-20 21:59:45.042,GBPUSD,1.2623
288230383844093500,2024-02-20 21:59:45.100,EURUSD,1.08076
288230383844093508,2024-02-20 21:59:45.101,AUDUSD,0.65489
288230383844093526,2024-02-20 21:59:45.110,EURGBP,0.85617
288230383844093552,2024-02-20 21:59:45.142,GBPUSD,1.26229
288230383844093574,2024-02-20 21:59:45.201,AUDUSD,0.65488
288230383844093584,2024-02-20 21:59:45.210,EURGBP,0.85617
288230383844093604,2024-02-20 21:59:45.242,GBPUSD,1.26229
288230383844093614,2024-02-20 21:59:45.252,NZDUSD,0.61642
288230383844093616,2024-02-20 21:59:45.253,EURUSD,1.08076
288230383844093634,2024-02-20 21:59:45.301,AUDUSD,0.65492
288230383844093644,2024-02-20 21:59:45.310,EURGBP,0.85617
288230383844093662,2024-02-20 21:59:45.352,NZDUSD,0.61642
288230383844093664,2024-02-20 21:59:45.353,EURUSD,1.08075
288230383844093694,2024-02-20 21:59:45.410,EURGBP,0.85618
288230383844093700,2024-02-20 21:59:45.423,AUDUSD,0.65491
288230383844093714,2024-02-20 21:59:45.453,EURUSD,1.08076
288230383844093732,2024-02-20 21:59:45.483,GBPUSD,1.26227
288230383844093734,2024-02-20 21:59:45.487,NZDUSD,0.61643
288230383844093756,2024-02-20 21:59:45.510,EURGBP,0.85618
288230383844093762,2024-02-20 21:59:45.523,AUDUSD,0.65493
288230383844093776,2024-02-20 21:59:45.553,EURUSD,1.08076
288230383844093794,2024-02-20 21:59:45.583,GBPUSD,1.26227
288230383844093796,2024-02-20 21:59:45.587,NZDUSD,0.61643
288230383844093812,2024-02-20 21:59:45.610,EURGBP,0.85618
288230383844093816,2024-02-20 21:59:45.623,AUDUSD,0.65492
288230383844093834,2024-02-20 21:59:45.653,EURUSD,1.08076
288230383844093846,2024-02-20 21:59:45.683,GBPUSD,1.26227
288230383844093848,2024-02-20 21:59:45.687,NZDUSD,0.61643
288230383844093862,2024-02-20 21:59:45.710,EURGBP,0.85619
288230383844093866,2024-02-20 21:59:45.723,AUDUSD,0.65492
288230383844093878,2024-02-20 21:59:45.753,EURUSD,1.08076
288230383844093886,2024-02-20 21:59:45.783,GBPUSD,1.26227
288230383844093892,2024-02-20 21:59:45.810,EURGBP,0.85619
288230383844093920,2024-02-20 21:59:45.873,AUDUSD,0.65493
288230383844093928,2024-02-20 21:59:45.910,EURGBP,0.85619
288230383844093954,2024-02-20 21:59:45.973,AUDUSD,0.65492
288230383844093974,2024-02-20 21:59:46.029,GBPUSD,1.26227
288230383844093978,2024-02-20 21:59:46.038,EURUSD,1.08077
288230383844093980,2024-02-20 21:59:46.040,EURGBP,0.85619
288230383844094004,2024-02-20 21:59:46.077,AUDUSD,0.65492
288230383844094032,2024-02-20 21:59:46.129,GBPUSD,1.26227
288230383844094034,2024-02-20 21:59:46.138,EURUSD,1.08076
288230383844094036,2024-02-20 21:59:46.140,EURGBP,0.85619
288230383844094052,2024-02-20 21:59:46.177,AUDUSD,0.65492
288230383844094070,2024-02-20 21:59:46.229,GBPUSD,1.26227
288230383844094076,2024-02-20 21:59:46.256,NZDUSD,0.61642
288230383844094082,2024-02-20 21:59:46.277,AUDUSD,0.65492
288230383844094096,2024-02-20 21:59:46.377,NZDUSD,0.61642
288230383844094098,2024-02-20 21:59:46.377,AUDUSD,0.65492
288230383844094120,2024-02-20 21:59:46.402,GBPUSD,1.26227
288230383844094122,2024-02-20 21:59:46.403,EURGBP,0.85619
288230383844094136,2024-02-20 21:59:46.477,AUDUSD,0.65493
288230383844094152,2024-02-20 21:59:46.502,GBPUSD,1.26227
288230383844094154,2024-02-20 21:59:46.503,EURGBP,0.85618
288230383844094166,2024-02-20 21:59:46.603,EURGBP,0.85619
288230383844094172,2024-02-20 21:59:46.649,EURUSD,1.08076
288230383844094178,2024-02-20 21:59:46.703,EURGBP,0.85618
288230383844094192,2024-02-20 21:59:46.764,EURUSD,1.08076
288230383844094224,2024-02-20 21:59:46.899,AUDUSD,0.65492
288230383844094266,2024-02-20 21:59:46.999,AUDUSD,0.65492
288230383844094278,2024-02-20 21:59:47.066,EURGBP,0.85618
288230383844094294,2024-02-20 21:59:47.099,AUDUSD,0.65492
288230383844094314,2024-02-20 21:59:47.199,AUDUSD,0.65491
288230383844094320,2024-02-20 21:59:47.216,NZDUSD,0.61643
288230383844094340,2024-02-20 21:59:47.299,AUDUSD,0.65493
288230383844094368,2024-02-20 21:59:47.399,AUDUSD,0.65492
288230383844094372,2024-02-20 21:59:47.401,GBPUSD,1.26227
288230383844094380,2024-02-20 21:59:47.501,GBPUSD,1.26227
288230383844094388,2024-02-20 21:59:47.566,EURGBP,0.85618
288230383844094484,2024-02-20 21:59:48.065,EURGBP,0.85618
288230383844094490,2024-02-20 21:59:48.104,EURUSD,1.08075
288230383844094510,2024-02-20 21:59:48.277,NZDUSD,0.61643
288230383844094514,2024-02-20 21:59:48.279,EURUSD,1.08075
288230383844094532,2024-02-20 21:59:48.377,NZDUSD,0.61642
288230383844094542,2024-02-20 21:59:48.477,NZDUSD,0.61642
288230383844094556,2024-02-20 21:59:48.556,EURGBP,0.85618
288230383844094562,2024-02-20 21:59:48.577,NZDUSD,0.61642
288230383844094564,2024-02-20 21:59:48.597,EURUSD,1.08075
288230383844094568,2024-02-20 21:59:48.615,GBPUSD,1.26227
288230383844094588,2024-02-20 21:59:48.656,EURGBP,0.85619
288230383844094598,2024-02-20 21:59:48.715,GBPUSD,1.26227
288230383844094614,2024-02-20 21:59:48.815,GBPUSD,1.26227
288230383844094616,2024-02-20 21:59:48.816,AUDUSD,0.65492
288230383844094630,2024-02-20 21:59:48.965,AUDUSD,0.65492
288230383844094642,2024-02-20 21:59:49.037,NZDUSD,0.61642
288230383844094650,2024-02-20 21:59:49.065,AUDUSD,0.65492
288230383844094652,2024-02-20 21:59:49.067,EURGBP,0.85619
288230383844094670,2024-02-20 21:59:49.137,NZDUSD,0.61642
288230383844094674,2024-02-20 21:59:49.153,EURUSD,1.08075
288230383844094680,2024-02-20 21:59:49.165,AUDUSD,0.65492
288230383844094690,2024-02-20 21:59:49.237,NZDUSD,0.61642
288230383844094700,2024-02-20 21:59:49.265,AUDUSD,0.65492
288230383844094728,2024-02-20 21:59:49.350,EURGBP,0.85619
288230383844094734,2024-02-20 21:59:49.365,AUDUSD,0.65492
288230383844094762,2024-02-20 21:59:49.465,AUDUSD,0.65491
288230383844094782,2024-02-20 21:59:49.550,GBPUSD,1.26227
288230383844094784,2024-02-20 21:59:49.567,EURGBP,0.85619
288230383844094792,2024-02-20 21:59:49.650,GBPUSD,1.26227
288230383844094794,2024-02-20 21:59:49.666,AUDUSD,0.65491
288230383844094796,2024-02-20 21:59:49.667,EURGBP,0.85618
288230383844094804,2024-02-20 21:59:49.801,AUDUSD,0.65492
288230383844094824,2024-02-20 21:59:49.901,AUDUSD,0.65491
288230383844094836,2024-02-20 21:59:50.001,AUDUSD,0.65491
288230383844094860,2024-02-20 21:59:50.009,EURGBP,0.85619
288230383844094866,2024-02-20 21:59:50.012,GBPUSD,1.26227
288230383844094880,2024-02-20 21:59:50.014,EURUSD,1.08076
288230383844094882,2024-02-20 21:59:50.014,NZDUSD,0.61641
288230383844094916,2024-02-20 21:59:50.101,AUDUSD,0.0
288230383844094930,2024-02-20 21:59:50.109,EURGBP,0.85619
288230383844094934,2024-02-20 21:59:50.112,GBPUSD,1.26227
288230383844094942,2024-02-20 21:59:50.114,EURUSD,1.08076
288230383844094976,2024-02-20 21:59:50.457,AUDUSD,0.0
288230383844094982,2024-02-20 21:59:50.617,AUDUSD,0.0
288230383844094996,2024-02-20 21:59:50.787,EURUSD,1.08076
288230383844095004,2024-02-20 21:59:50.880,AUDUSD,0.0
288230383844095020,2024-02-20 21:59:50.980,AUDUSD,0.0
288230383844095028,2024-02-20 21:59:51.007,NZDUSD,0.61641
288230383844095038,2024-02-20 21:59:51.122,EURGBP,0.85619
288230383844095058,2024-02-20 21:59:51.258,EURUSD,1.08076
288230383844095062,2024-02-20 21:59:51.273,EURGBP,0.85619
288230383844095136,2024-02-20 21:59:51.918,AUDUSD,0.0
288230383844095144,2024-02-20 21:59:51.996,GBPUSD,1.26227
288230383844095160,2024-02-20 21:59:52.264,EURGBP,0.85619
288230383844095164,2024-02-20 21:59:52.273,EURUSD,1.08076
288230383844095178,2024-02-20 21:59:52.364,EURGBP,0.85619
288230383844095206,2024-02-20 21:59:52.613,EURGBP,0.85619
288230383844095218,2024-02-20 21:59:52.822,EURGBP,0.85619
288230383844095222,2024-02-20 21:59:52.918,AUDUSD,0.0
288230383844095238,2024-02-20 21:59:52.973,EURUSD,1.08076
288230383844095240,2024-02-20 21:59:52.973,NZDUSD,0.61642
288230383844095260,2024-02-20 21:59:53.065,EURGBP,0.8562
288230383844095262,2024-02-20 21:59:53.065,GBPUSD,1.26227
288230383844095268,2024-02-20 21:59:53.073,EURUSD,1.08076
288230383844095270,2024-02-20 21:59:53.073,NZDUSD,0.61642
288230383844095294,2024-02-20 21:59:53.165,EURGBP,0.8562
288230383844095296,2024-02-20 21:59:53.165,GBPUSD,1.26226
288230383844095298,2024-02-20 21:59:53.173,EURUSD,1.08076
288230383844095306,2024-02-20 21:59:53.265,EURGBP,0.8562
288230383844095318,2024-02-20 21:59:53.365,EURGBP,0.8562
288230383844095320,2024-02-20 21:59:53.382,NZDUSD,0.61641
288230383844095354,2024-02-20 21:59:53.822,EURGBP,0.8562
288230383844095380,2024-02-20 21:59:54.068,GBPUSD,1.26226
288230383844095384,2024-02-20 21:59:54.074,EURUSD,1.08076
288230383844095406,2024-02-20 21:59:54.168,GBPUSD,1.26229
288230383844095410,2024-02-20 21:59:54.174,EURUSD,1.08075
